abacaxi,fruta
abelhas,inseto
abstrato,conceito
acalmar,tranquilo
acampar,natureza
acender,luz
acolher,receber
aconchego,conforto
acordado,desperto
adicionar,somar
admirado,surpreso
afastar,distanciar
aflorar,emergir
aguardar,esperar
alegria,felicidade
almofada,sofá
alternar,trocar
amanhecer,manhã
amplitude,tamanho
analista,profissional
anfitriao,recepcao
anterior,antes
apertado,justo
aplicado,dedicado
aprender,estudar
aprimorar,melhorar
aproveitar,curtir
aquecedor,quente
arcoiris,cores
arquivos,documentos
artesanal,feitoamao
aspirante,iniciante
aterrizar,pousar
atletismo,esporte
atualizar,moderno
aumentado,maior
aventurar,explorar
balanço,oscilar
baleados,feridos
banheiro,higiene
barulho,ruído
batizado,cerimonia
beleza,estetica
bilheteria,ingresso
brincadeira,diversao
buzinas,transito
cabecalho,titulo
cachorro,animal
cafeteria,cafe
calendario,meses
campanhas,propaganda
cantor,musica
capacetes,proteção
capitulo,livro
carinhoso,afeto
cativante,interessante
celebrado,famoso
cenas,filme
centenas,numero
chamativo,destaque
chateado,triste
chuveiros,banho
ciclistas,bicicleta
cinquenta,numero
claridade,luz
classicos,tradicional
coerencia,logica
colaborar,ajudar
colorido,cores
comando,ordem
comovente,emocionante
comunhao,uniao
concerto,musica
confiança,segurança
conforto,bemestar
conquista,vitoria
consagrado,reconhecido
conteudos,informacao
cordeiros,animais
corredores,passagem
criativos,inventivos
cristal,vidro
curativos,remedio
curiosidade,interesse
decoracao,enfeite
defensivo,proteção
definicao,explicacao
degradado,desbotado
demonstrar,mostrar
desanimado,triste
desejado,querido
desperto,acordado
diagnostico,medico
disponivel,acesso
diversao,entretenimento
dramatico,teatro
durante,tempo
educador,professor
efetivar,realizar
eficiência,rapidez
elaborar,criar
elevador,subida
emergente,surgindo
empolgado,animado
empresario,negocio
encaixar,ajustar
encantado,maravilhado
encerrar,finalizar
endireitar,alinhar
enigmático,misterio
enriquecer,fortuna
entender,compreender
entusiasmo,animo
equalizar,ajustar
equipamento,material
escalada,subida
escapulir,fugir
esclarecer,explicar
escorregar,cair
escrever,letras
esforcado,dedicado
esgotado,cansado
especifico,direto
espontaneo,natural
esquecer,memoria
estabilidade,segurança
estimar,valorizar
estrategia,plano
estrear,começar
eternizar,perpetuar
evacuar,retirar
evolutivo,progresso
exagerado,excesso
excelente,ótimo
exclusivo,unico
exemplar,modelo
exercitar,treinar
experimentar,testar
explorar,descobrir
exposicao,mostra
extensao,comprimento
extravagante,chamativo
facilidade,facil
fagulhas,faísca
fantasia,imaginacao
fascinante,incrivel
felicidade,alegria
ferramenta,util
festejado,comemorado
flutuante,boiar
fofocas,rumores
folclore,cultura
fontes,origem
formidavel,ótimo
